Date_Time,Game,Network,Rating,Plus_minus,Viewership,Plus_minus_two,Year
"11/23, Noon",W CAR-ALA,ESPN,0.9,1.44M,,,2019
"11/23, Noon",MINN-NWSTN,ABC,0.9,1.36M,,,2019
"11/23, 10:00p",WASH-COLO,ESPN,0.8,1.18M,,,2019
"11/23, 3:30p",TEX-BYLR,FS1,0.7,1.15M,,,2019
"11/23, Noon",OK ST-WVU,ESPN2,0.53,871K,,,2019
"11/22, 9:30",COLO ST-WYO,ESPN2,0.49,794K,,,2019
"11/23, 7:00p",K ST-TTU,FS1,0.39,633K,,,2019
"11/23, 3:30p",PITT-VT,ESPN2,0.36,571K,,,2019
"11/21, 8:00p",NC ST-GT,ESPN,0.36,558K,,,2019
"11/23, 10:00p",UTAH-ARIZ,FS1,0.33,533K,,,2019
"11/20, 7:30p",TOLEDO-BUF,ESPN2,0.26,386K,,,2019
"11/23, 7:00p",TEMP-CIN,ESPN2,0.22,359K,,,2019
"11/23, 10:30p",NEV-FRES ST,ESPN2,0.19,323K,,,2019
"11/19, 7:30p",EMU-NIU,ESPN2,—,294K,,,2019
"11/19, 7:30p",OHIO-BGSU,ESPNU,—,—,,,2019
"11/20, 7:30p",AKRON-MIA,ESPNU,—,—,,,2019
"11/23, Noon",MSU-RUTG,FS1,—,—,,,2019
"11/23, Noon",YALE-HARV,ESPNU,—,—,,,2019
"11/23, 4:00p",MEM-USF,ESPNU,—,—,,,2019
"11/23, 7:30p",HOU-TULSA,ESPNU,—,—,,,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"11/16, 7:30p",OKLA-BYLR,ABC,3.9,+105%,6.79M,+119%,2019
"11/16, 3:30p",UGA-AUB,CBS,4.0,+208%,6.77M,+234%,2019
"11/16, 4:00p",MINN-IOWA,FOX,2.6,+100%,4.41M,+123%,2019
"11/16, Noon",MSU-MICH,FOX,2.5,+56%,3.94M,+57%,2019
"11/16, Noon",IND-PSU,ABC,1.9,-46%,2.93M,-47%,2019
"11/16, 7:00p",LSU-MISS,ESPN,1.5,+7%,2.63M,+7%,2019
"11/16, Noon",ALA-MISS ST,ESPN,1.5,+114%,2.49M,+140%,2019
"11/16, Noon",UF-MIZ,CBS,1.5,—,2.29M,—,2019
"11/16, 3:30p",WF-CLEM,ABC,1.2,-50%,1.91M,-51%,2019
"11/16, 10:30p",AZ-ORE,ESPN,1.0,flat,1.61M,+3%,2019
"11/16, 2:30p",NAVY-ND,NBC,1.0,-44%,1.56M,-46%,2019
"11/16, 8:00p",UCLA-UTAH,FOX,1.0,-44%,1.52M,-45%,2019
"11/16, 3:30p",TEX-IA ST,FS1,0.6,-57%,1.07M,-53%,2019
"11/16, 3:30p",WVU-K ST,ESPN,0.6,+36%,980K,+34%,2019
"11/14, 8:00p",UNC-PITT,ESPN,0.51,—,789K,+109%,2019
"11/16, Noon",TCU-TTU,ESPN2,0.36,—,562K,+107%,2019
"11/16, 11:00p",USC-CAL,FS1,0.34,—,551K,—,2019
"11/15, 9:30p",FRES ST-SDSU,ESPN2,0.34,-8%,530K,-15%,2019
"11/16, 7:30p",ASU-ORE ST,FS1,0.29,—,488K,—,2019
"11/13, 8:00p",NIU-TOLEDO,ESPN2,0.24,—,347K,-15%,2019
"11/12, 6:00p",WMU-OHIO,ESPN2,0.21,—,338K,-5%,2019
"11/16, Noon",KU-OKLA ST,FS1,0.22,-4%,334K,-18%,2019
"11/16, 3:30p",MEM-HOU,ESPN2,n.a.,n.a.,292K,-59%,2019
"11/16, 7:00p",AF-COLO ST,ESPN2,n.a.,n.a.,229K,-68%,2019
"11/16, 10:15p",NM-BOISE ST,ESPN2,n.a.,n.a.,224K,-24%,2019
"11/12, 6:00p",EMU-AKRON,ESPNEWS,n.a.,n.a.,n.a.,n.a.,2019
"11/13, 8:00p",BGSU-MIA (OH),ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"11/16, Noon",TULANE-TEM,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"11/16, 4:00p",WYO-UTA ST,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"11/16, 7:30p",APP ST-GA ST,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"11/9, 3:30p",LSU-ALA,CBS,9.7,+194%,16.64M,+207%,2019
"11/9, Noon",PSU-MINN,ABC,4.3,+187%,6.74M,+197%,2019
"11/9, 8:00p",IA ST-OKLA,FOX,1.9,+19%,3.17M,+18%,2019
"11/9, 7:30p",CLEM-NC ST,ABC,1.6,-33%,2.71M,-30%,2019
"11/9, Noon",MD-OSU,FOX,1.7,-48%,2.58M,-50%,2019
"11/9, 4:00p",IOWA-WISC,FOX,1.4,-13%,2.32M,-12%,2019
"11/9, 7:00p",MIZ-UGA,ESPN,1.2,-45%,2.17M,-46%,2019
"11/9, 3:30p",USC-ASU,ABC,1.2,-54%,1.63M,-58%,2019
"11/9, Noon",VANDY-UF,ESPN,0.75,-42%,1.23M,-41%,2019
"11/9, 10:15p",WYO-BOISE ST,ESPN,0.7,-30%,1.18M,-26%,2019
"11/9, 3:30p",K ST-TEX,ESPN,0.6,-25%,1.05M,-20%,2019
"11/8, 7:00p",UCF-TULSA,ESPN2,0.5,-18%,787K,-26%,2019
"11/9, 7:00p",APP ST-SC,ESPN2,0.41,+41%,739K,+34%,2019
"11/9, Noon",BYLR-TCU,FS1,0.45,+15%,728K,even,2019
"11/8, 10:30p",WASH-ORE ST,FS1,0.40,—,648K,—,2019
"11/9, 3:30p",ILL-MSU,FS1,0.33,+38%,569K,+57%,2019
"11/7, 8:00p",TEMP-USF,ESPN,0.31,-38%,431K,-42%,2019
"11/9, Noon",TTU-WVU,ESPN2,0.27,+29%,429K,+11%,2019
"11/6, 8:00p",MIA (OH)-OHIO,ESPN2,0.25,-11%,359K,-28%,2019
"11/9, 3:30p",LOU-MIA,ESPN2,0.21,-30%,330K,-38%,2019
"11/9, 10:30p",NEV-SDSU,ESPN2,0.20,—,325K,-22%,2019
"11/5, 7:00p",BALL ST-WMU,ESPN2,—,—,212K,—,2019
"11/9, 7:30p",LIB-BYU,ESPNU,—,—,166K,—,2019
"11/7, 7:30p",LA-CO CAR,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"11/9, Noon",ECU-SMU,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"11/9, 3:30p",DART-PRNC,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"11/2, 3:30p",UGA-UF,CBS,4.2,+62%,6.98M,+59%,2019
"11/2, 8:00p",ORE-USC,FOX,2.05,+74%,3.43M,+76%,2019
"11/2, Noon",MICH-MD,ABC,2.1,+91%,3.10M,+100%,2019
"11/2, 2:30p",VT-ND,NBC,1.9,—,2.95M,—,2019
"11/2, 7:30p",SMU-MEM,ABC,1.8,-5%,2.95M,+6%,2019
"11/2, Noon",NEB-PUR,FOX,1.8,-42%,2.70M,-46%,2019
"11/2, 7:00p",MISS-AUB,ESPN,1.2,-37%,2.21M,+33%,2019
"11/2, 3:30p",MIA-FSU,ABC,1.3,+44%,2.01M,+49%,2019
"11/2, 4:00p",UTAH-WASH,FOX,1.3,-52%,1.96M,-56%,2019
"10/31, 8:00p",WVU-BYLR,ESPN,0.7,-10%,1.13M,-5%,2019
"11/2, Noon",NC ST-WAKE,ESPN,0.6,-63%,890K,-66%,2019
"11/2, 3:30p",TCU-OK ST,ESPN,0.51,-80%,797K,-81%,2019
"11/1, 8:00p",NAVY-UCONN,ESPN2,0.48,-47%,742K,-45%,2019
"11/2, Noon",HOU-UCF,ESPN2,0.49,-2%,736K,-3%,2019
"11/2, 10:00p",BYU-UTA ST,ESPN2,0.34,+21%,592K,+26%,2019
"11/2, 7:00p",UAB-TENN,ESPNU,n.a.,n.a.,496K,n.a.,2019
"11/2, 7:30p",NWSTN-IND,FS1,0.25,—,377K,—,2019
"11/2, 3:30p",K ST-KU,FS1,n.a.,n.a.,296K,-38%,2019
"10/31, 8:00p",GA SO-APP ST,ESPNU,n.a.,n.a.,195K,n.a.,2019
"11/2, Noon",BUF-EMU,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"11/2, 4:00p",TULSA-TUL,ESPN2,n.a.,n.a.,n.a.,n.a.,2019
"11/2, 3:30p",ARK ST-ULM,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"11/2, 10:30p",NM-NEV,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"10/26, 3:30p",AUB-LSU,CBS,4.3,+10%,7.18M,+13%,2019
"10/26, 7:30p",ND-MICH,ABC,3.8,+81%,6.75M,+94%,2019
"10/26, Noon",WISC-OSU,FOX,4.2,+180%,6.65M,+197%,2019
"10/26, Noon",OKLA-KST,ABC,2.7,+35%,4.21M,+33%,2019
"10/26, 3:30p",PSU-MSU,ABC,2.3,+64%,3.92M,+92%,2019
"10/26, 3:30p",TEX-TCU,FOX,1.6,+23%,2.58M,+30%,2019
"10/26, 3:30p",ARK-ALA,ESPN,1.2,-8%,2.12M,-3%,2019
"10/26, 10:30p",WASH ST-ORE,ESPN,1.1,+57%,1.90M,+60%,2019
"10/26, Noon",MIA-PIT,ESPN,0.7,-53%,1.08M,-55%,2019
"10/25, 9:00p",USC-COLO,ESPN2,0.51,+9%,773K,+10%,2019
"10/24, 7:30p",SMU-HOU,ESPN,0.50,-17%,769K,-21%,2019
"10/26, 3:30p",MD-MIN,ESPN,0.44,-78%,663K,-80%,2019
"10/26, Noon",IOWA-NWSTN,ESPN2,0.37,-33%,584K,-34%,2019
"10/26, 3:30p",OKLA ST-IA ST,FS1,0.32,+68%,529K,+63%,2019
"10/26, 3:30p",SYR-FSU,ESPN2,0.27,+35%,422K,-34%,2019
"10/26, 7:00p",TTU-KU,FS1,0.22,-37%,379K,-33%,2019
"10/26, 7:00p",UCF-TEMP,ESPN2,n.a.,—,277K,-59%,2019
"10/26, 10:00p",CAL-UTAH,FS1,n.a.,—,251K,—,2019
"10/26, 3:30p",FIU-MID TENN,NFLN,n.a.,n.a.,25K,n.a.,2019
"10/26, Noon",APP ST-SO ALA,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"10/26, 3:45p",USF-ECU,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"10/26, 7:30p",COLO ST-FRES ST,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"10/26, 10:15p",UTA ST-AF,ESPN2,n.a.,n.a.,n.a.,n.a.,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"10/19, 7:30p",MICH-PSU,ABC,4.0,+5%,6.66M,+6%,2019
"10/19, 9:00p",TENN-ALA,ESPN,2.4,—,4.25M,—,2019
"10/19, 3:30p",LSU-MISS ST,CBS,2.4,-8%,3.86M,-10%,2019
"10/19, 3:30p",ORE-WASH,ABC,2.3,+15%,3.62M,+16%,2019
"10/19, Noon",UF-SC,ESPN,2.0,+54%,3.19M,+44%,2019
"10/19, 6:00p",UK-UGA,ESPN,1.6,-16%,2.94M,-5%,2019
"10/19, Noon",CLEM-LOU,ABC,1.7,flat,2.61M,+5%,2019
"10/19, Noon",WVU-OKLA,FOX,1.7,-50%,2.54M,-53%,2019
"10/19, 4:00p",BYLR-OKLA ST,FOX,1.4,-30%,2.23M,-30%,2019
"10/18, 8:30p",OSU-NWSTN,BTN,—,—,1.64M,—,2019
"10/19, Noon",WISC-ILL,BTN,—,—,1.11M,—,2019
"10/18, 7:00p",PITT-SYR,ESPN,0.7,—,1.09M,—,2019
"10/19, Noon",PUR-IOWA,ESPN2,0.49,+14%,799K,+14%,2019
"10/19, 10:15p",BOISE ST-BYU,ESPN2,0.35,-10%,571K,-7%,2019
"10/19, 3:30p",MINN-RUTG,BTN,—,—,564K,—,2019
"10/16, 8:00p",SO ALA-TROY,ESPN2,0.29,—,448K,—,2019
"10/17, 9:00p",UCLA-STAN,ESPN,0.30,-42%,445K,-45%,2019
"10/19, Noon",IOWA ST-TTU,FS1,0.23,-51%,343K,-56%,2019
"10/19, 7:00p",COLO-WASH ST,ESPNU,n.a.,n.a.,271K,n.a.,2019
"10/19, 7:00p",TUL-MEM,ESPN2,n.a.,n.a.,192K,-60%,2019
"10/17, 7:00p",LA-ARK ST,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"10/19, Noon",HOU-UCONN,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"10/19, 3:30p",TUL-CIN,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"10/19, 10:30p",NEV-UTA ST,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"10/19, 3:30p",SO MISS-LA TECH,NFLN,—,—,—,—,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"10/12, Noon",OKLA-TEX,FOX,4.5,—,7.25M,—,2019
"10/12, 8:00p",UF-LSU,ESPN,3.6,+80%,6.45M,+72%,2019
"10/12, 3:30p",ALA-T A&M,CBS,3.7,+12%,6.11M,+10%,2019
"10/12, 7:30p",PSU-IOWA,ABC,2.2,-37%,3.70M,-39%,2019
"10/12, Noon",SC-UGA,ESPN,2.0,+33%,3.25M,+30%,2019
"10/12, 7:30p",USC-ND*,NBC,1.9,+6%,3.16M,+12%,2019
"10/12, 3:30p",FSU-CLEM,ABC,1.6,-16%,2.54M,-15%,2019
"10/12, Noon",MICH-ILL,ABC,1.4,-18%,2.13M,-12%,2019
"10/11, 8:00p",UVA-MIA,ESPN,1.1,+57%,1.73M,+48%,2019
"10/12, 4:00p",IA ST-WVU,ESPN,1.0,flat,1.57M,-12%,2019
"10/12, 7:30p",NEB-MINN,FS1,0.53,-29%,1.02M,-23%,2019
"10/12, 4:00p",TTU-BYLR,FS1,0.48,+45%,810K,+62%,2019
"10/12, 10:30p",WASH-ARIZ,FS1,0.42,-40%,730K,-38%,2019
"10/10, 8:00p",SYR-NC ST,ESPN,0.44,-45%,714K,-42%,2019
"10/11, 10:00p",COLO-ORE,FS1,0.38,—,687K,—,2019
"10/12, 10:15p",HAW-BOISE ST,ESPN2,0.34,-11%,555K,-14%,2019
"10/9, 8:00p",APP ST-LA,ESPN2,0.35,—,543K,—,2019
"10/12, 7:00p",MISS-MIZ,ESPN2,0.30,-40%,495K,-43%,2019
"10/12, 3:30p",CIN-HOU,ESPN2,n.a.,n.a.,261K,-23%,2019
"10/12, Noon",MEM-TEM,ESPN2,n.a.,n.a.,232K,-69%,2019
"10/10, 9:15p",ULM-TEX ST,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"10/12, Noon",MIA OH-WMU,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"10/12, 3:45p",UCONN-TUL,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"10/12, 7:30p",NAVY-TULSA,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
* compared to afternoon game last year,* compared to afternoon game last year,* compared to afternoon game last year,* compared to afternoon game last year,* compared to afternoon game last year,* compared to afternoon game last year,* compared to afternoon game last year,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"10/5, 7:30p",MSU-OSU,ABC,3.9,+44%,6.68M,+49%,2019
"10/5, 3:30p",AUB-UF,CBS,3.9,+34%,6.43M,+37%,2019
"10/5, Noon",IOWA-MICH,FOX,3.2,-9%,5.02M,-10%,2019
"10/5, 7:00p",UGA-TENN,ESPN,2.1,+50%,3.90M,+53%,2019
"10/5, 3:30p",TEX-WVU,ABC,1.9,+6%,3.16M,+13%,2019
"10/5, 12:30p",OKLA-KU,ABC,1.95,+27%,2.98M,+28%,2019
"10/5, 4:00p",NWSTN-NEB,FOX,1.4,+43%,2.21M,+45%,2019
"10/5, 8:00p",CAL-ORE,FOX,1.2,-8%,2.00M,-1%,2019
"10/5, 10:30p",WASH-STAN,ESPN,1.1,+22%,1.88M,+33%,2019
"10/5, Noon",PUR-PSU,ESPN,0.9,-40%,1.50M,-40%,2019
"10/4, 8:00p",UCF-CIN,ESPN,0.9,+50%,1.44M,+45%,2019
"10/5, 3:30p",BGSU-ND,NBC,0.8,—,1.28M,—,2019
"10/5, 3:30p",VT-MIA,ESPN,0.55,-10%,893K,-8%,2019
"10/5, Noon",OKLA ST-TTU,FS1,0.21,-48%,456K,-26%,2019
"10/5, 3:30p",BYLR-K ST,ESPN2,0.25,-43%,418K,-42%,2019
"10/5, 2:00p",TCU-IA ST,ESPN2,0.27,-40%,403K,-45%,2019
"10/3, 8:00p",TEMP-ECU,ESPN,0.24,-37%,374K,-33%,2019
"10/5, Noon",KENT ST-WISC,ESPNU,n.a.,n.a.,360K,n.a.,2019
"10/5, 10:00p",SDSU-COLO ST,ESPN2,n.a.,—,225K,—,2019
"10/5, 7:30p",TULSA-SMU,ESPNU,n.a.,n.a.,175K,n.a.,2019
"10/3, 7:30p",GA SO-SO ALA,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"10/5, 3:45p",MEM-ULM,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"9/28, 7:30p",OSU-NEB,ABC,3.5,-34%,6.14M,-33%,2019
"9/28, 3:30p",CLEM-UNC,ABC,2.8,+56%,4.40M,+59%,2019
"9/28, 3:30p",MISS-ALA,CBS,2.2,-4%,3.59M,-1%,2019
"9/28, Noon",NWSTN-WISC,ABC,2.0,-33%,3.03M,-32%,2019
"9/28, 3:30p",UVA-ND*,NBC,1.8,-14%,2.82M,-18%,2019
"9/28, Noon",TTU-OKLA,FOX,1.9,—,2.81M,—,2019
"9/28, Noon",TAMU-ARK,ESPN,1.6,+60%,2.58M,+62%,2019
"9/28, 3:30p",USC-WASH,FOX,1.3,-43%,2.03M,-44%,2019
"9/28, 7:00p",MISS ST-AUB,ESPN,1.2,+9%,1.99M,+5%,2019
"9/28, 10:30p",UCLA-ARIZ,ESPN,1.0,-9%,1.63M,-20%,2019
"9/27, 10:30p",ASU-CAL,ESPN,0.9,—,1.41M,—,2019
"9/28, 3:30p",IA ST-BYLR,ESPN,0.8,—,1.25M,—,2019
"9/27, 7:00p",DUKE-VT,ESPN,0.8,—,1.20M,—,2019
"9/27, 8:00p",PSU-MD,FS1,0.6,+15%,990K,+18%,2019
"9/26, 8:00p",NAVY-MEM,ESPN,0.5,-25%,730K,-28%,2019
"9/28, 10:00p",WASH ST-UTAH,FS1,0.39,-11%,677K,-10%,2019
"9/28, Noon",MID TN-IOWA,ESPN2,0.30,-57%,529K,-54%,2019
"9/28, 3:30p",MINN-PUR,ESPN2,0.30,-57%,460K,-56%,2019
"9/28, 7:00p",UCONN-UCF,ESPN2,0.20,-51%,322K,-55%,2019
"9/28, 10:30p",HAW-NEV,ESPN2,n.a.,n.a.,254K,-66%,2019
"9/28, 8:00p",UNLV-WYO,ESPNU,n.a.,n.a.,137K,-63%,2019
"9/28, Noon",KAN-TCU,FS1,n.a.,n.a.,133K,-69%,2019
"9/28, 3:30p",FAU-CHA,NFLN,n.a.,—,n.a.,—,2019
* compared to primetime game last year,* compared to primetime game last year,* compared to primetime game last year,* compared to primetime game last year,* compared to primetime game last year,* compared to primetime game last year,* compared to primetime game last year,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"9/21, 8:00p",ND-UGA,CBS,5.4,—,9.29M,—,2019
"9/21, Noon",MICH-WISC,FOX,3.1,—,4.73M,—,2019
"9/21, 3:30p",AUB-T A&M,CBS,3.0,-12%,4.66M,-18%,2019
"9/21, 8:00p",OKLA ST-TEX,ABC,2.2,-12%,3.64M,-13%,2019
"9/21, 3:30p",UCF-PITT;WASH-BYU,ABC,1.7,+38%,2.55M,+41%,2019
"9/21, Noon",TENN-UF,ESPN,1.6,-20%,2.46M,-26%,2019
"9/21, 3:30p",LOU-FSU,ESPN,1.0,+19%,1.54M,+24%,2019
"9/21, Noon",MSU-NWSTN,ABC,1.1,-35%,1.53M,-37%,2019
"9/20, 9:00p",UTAH-USC,FS1,0.9,+29%,1.42M,+21%,2019
"9/21, 10:30p",UCLA-WASH ST,ESPN,0.9,-18%,1.39M,-24%,2019
"9/21, 7:00p",ORE-STAN,ESPN,0.8,-33%,1.37M,-35%,2019
"9/21, Noon",USM-ALA,ESPN,0.8,+167%,1.29M,+205%,2019
"9/19, 8:00p",HOU-TUL,ESPN,0.6,+33%,1.03M,+41%,2019
"9/21, 8:00p",NEB-ILL,BTN,0.46,—,896K,—,2019
"9/20, 9:00p",AF-BOISE ST,ESPN2,0.6,—,895K,—,2019
"9/21, 3:30p",UCF-PITTWASH-BYU,ESPN2,0.38,+73%,593K,+72%,2019
"9/21, 7:00p",ODU-UVA,ESPN2,0.26,-63%,414K,-66%,2019
"9/21, 3:30p",SMU-TCU,FS1,0.26,-4%,410K,-1%,2019
"9/21, Noon",CAL-MISS,ESPNU,n.a.,n.a.,392K,+86%,2019
"9/21, 10:15p",TOLEDO-COL ST,ESPN2,n.a.,n.a.,185K,-33%,2019
"9/21, Noon",ULM-IA ST,FS1,n.a.,n.a.,159K,-89%,2019
"9/21, 3:30p",TEMPLE-BUFF,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"9/21, 7:00p",BALL ST-NC ST,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"9/21, 3:30p",S ALA-UAB,NFLN,n.a.,n.a.,n.a.,n.a.,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"9/14, 3:30p",ALA-SC,CBS,3.0,-14%,4.95M,-17%,2019
"9/14, 7:30p",CLEM-SYR,ABC,2.3,-45%,3.62M,-50%,2019
"9/14, 12:30p",PITT-PSU,ABC,2.1,-5%,3.20M,-4%,2019
"9/14, 7:00p",UF-UK,ESPN,1.7,-26%,3.14M,-24%,2019
"9/14, Noon",OSU-IND,FOX,2.0,—,3.05M,—,2019
"9/14, 8:00p",OKLA-UCLA,FOX,1.7,-6%,2.74M,-7%,2019
"9/14, 4:00p",ASU-MSU,FOX,1.7,+143%,2.71M,+152%,2019
"9/14, 3:30p",BYU-USC,ABC,1.7,-11%,2.67M,-8%,2019
"9/13, 9:15p",WASH ST-HOU,ESPN,1.3,—,2.07M,—,2019
"9/14, 10:30p",TTU-ARIZ,ESPN,1.1,+10%,1.73M,+9%,2019
"9/14, Noon",KST-MISS ST,ESPN,1.1,-8%,1.70M,-9%,2019
"9/14, 2:30p",NM-ND,NBC,1.0,-29%,1.50M,-29%,2019
"9/13, 6:00p",UNC-WAKE,ESPN,0.9,+76%,1.37M,+73%,2019
"9/14, 4:00p",IOWA-IA ST,FS1,0.6,n.a.,1.17M,+302%,2019
"9/14, 3:30p",STAN-UCF,ESPN,0.6,-28%,967K,-33%,2019
"9/14, Noon",ARK ST-UGA,ESPN2,0.6,+104%,951K,+106%,2019
"9/14, 7:00p",KENT ST-AUB,ESPN2,0.38,n.a.,625K,n.a.,2019
"9/14, Noon",NC ST-WVU,FS1,0.39,-9%,606K,-32%,2019
"9/14, 3:30p",OK ST-TULSA,ESPN2,0.40,n.a.,605K,n.a.,2019
"9/14, 8:00p",NIU-NEB,FS1,n.a.,—,477K,—,2019
"9/14, 10:15p",PR ST-BOISE ST,ESPN2,0.23,n.a.,391K,n.a.,2019
"9/14, 3:30p",ARMY-UTSA,NFLN,n.a.,n.a.,142K,n.a.,2019
"9/14, 7:00p",LAMAR-T A&M,ESPNU,n.a.,n.a.,142K,n.a.,2019
"9/14, Noon",MIA (OH)-CIN,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
"9/14, 3:30p",MEM-SO ALA,ESPNU,n.a.,n.a.,n.a.,n.a.,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"9/7, 7:30p",LSU-TEX,ABC,5.0,+150%,8.63M,+163%,2019
"9/7, 3:30p",T A&M-CLEM,ABC,4.0,+90%,6.46M,+90%,2019
"9/7, Noon",ARMY-MICH,FOX,3.1,+66%,4.72M,+63%,2019
"9/7, 3:30p",NEB-COLO,FOX,2.0,+67%,3.45M,+71%,2019
"9/7, Noon",CIN-OSU,ABC,1.9,+12%,2.94M,+16%,2019
"9/7, 8:00p",BUF-PSU,FOX,1.3,-7%,2.17M,-5%,2019
"9/7, 10:30p",STAN-USC,ESPN,1.2,-20%,1.86M,-19%,2019
"9/7, 7:00p",BYU-TENN,ESPN,0.9,-65%,1.60M,-64%,2019
"9/6, 9:00p",MARSH-BOISE ST,ESPN2,0.9,+29%,1.38M,+28%,2019
"9/7, Noon",SYR-MD,ESPN,0.8,-27%,1.28M,-29%,2019
"9/7, 4:00p",MURR-UGA,ESPN2,0.52,-48%,942K,-43%,2019
"9/7, Noon",WVU-MIZ,ESPN2,0.50,+100%,782K,+106%,2019
"9/7, 7:30p",TUL-AUB,ESPN2,0.45,-10%,763K,-11%,2019
"9/7, Noon",RUTG-IOWA,FS1,0.32,-47%,545K,-40%,2019
"9/7, 10:30p",CAL-WASH,FS1,0.20,n.a.,323K,+39%,2019
"9/7, 7:30p",TMART-UF,ESPNU,n.a.,n.a.,364K,+50%,2019
"9/7, 3:30p",USM-MISS ST,ESPNU,n.a.,n.a.,231K,-19%,2019
"9/7, Noon",ODU-VT,ESPNU,n.a.,n.a.,201K,-40%,2019
"9/7, 3:30p",GRAMB-LA TECH,NFLN,n.a.,n.a.,n.a.,n.a.,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"8/31, 7:30p",ORE-AUB,ABC,4.0,+48%,6.86M,+51%,2019
"9/2, 8:00p",ND-LOU,ESPN,3.3,-3%,5.60M,+0.4%,2019
"9/1, 7:30p",HOU-OKLA,ABC,3.0,-21%,5.44M,-17%,2019
"8/31, 3:30p",DUKE-ALA,ABC,2.8,-13%,4.64M,-12%,2019
"8/31, Noon",FAU-OSU,FOX,1.6,+78%,2.62M,+89%,2019
"8/31, 4:00p",NWSTN-STAN,FOX,1.3,+117%,2.02M,+117%,2019
"8/31, Noon",MISS-MEM,ABC,1.2,-45%,1.88M,-46%,2019
"8/31, 7:30p",UGA-VANDY,ESPN,1.0,+67%,1.82M,+81%,2019
"8/30, 7:50p",WISC-USF,ESPN,1.05,+17%,1.80M,+28%,2019
"8/31, Noon",S ALA-NEB,ESPN,1.0,-17%,1.78M,-8%,2019
"8/31, 3:30p",S CAR-UNC,ESPN,1.05,+50%,1.78M,+49%,2019
"8/29, 10:30p",UTA-BYU,ESPN,1.0,—,1.68M,—,2019
"8/31, 11:00p",FRES ST-USC,ESPN,1.0,+33%,1.65M,+28%,2019
"8/29, 7:00p",UCLA-CIN,ESPN,1.05,—,1.63M,—,2019
"8/30, 11:10p",CSU-COLO,ESPN,0.8,—,1.28M,—,2019
"8/31, Noon",BOISE ST-FSU,ESPNEWS,n.a.,n.a.,1.19M,n.a.,2019
"8/31, 7:30p",MTENN-MICH,BTN,—,—,1.10M,—,2019
"8/30, 7:00p",TULSA-MSU,FS1,0.6,—,939K,—,2019
"8/30, 10:30p",OKST-ORST,FS1,0.49,+29%,789K,+32%,2019
"8/31, 7:45p",MIA (OH)-IOWA,FS1,0.34,—,707K,—,2019
"8/31, 3:30p",GA ST-TENN,ESPNU,n.a.,n.a.,702K,+115%,2019
"8/31, 3:30p",Idaho-PSU,BTN,—,—,588K,—,2019
"8/31, Noon",UNI-IOWA ST,FS1,0.31,-61%,493K,-61%,2019
"8/29, 9:00p",S DAK ST-MINN,FS1,0.24,+20%,392K,+16%,2019
"8/31, Noon",MISS ST-LA,ESPNU,n.a.,n.a.,370K,+54%,2019
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2019
"8/24, 7:00p",Miami-UF,ESPN,3.4,+871%,5.97M,+958%,2019
